id,colour,size,width,brand,model,price,type,count,rating,no_rating,link
212878,Gold,Medium,137 mm,Vincent Chase,VC E16460,1700,eyeframe,2006,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16460-c2-eyeglasses.html
211935,Copper,Medium,134 mm,Vincent Chase,VC E16230,1700,eyeframe,2974,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16230-c2-eyeglasses.html
209328,Black,Medium,137 mm,Vincent Chase Polarized,VC S15765,2000,sunglasses,1400,0.0,0,https://www.lenskart.com/vincent-chase-vc-s15765-c2-sunglasses.html
151505,Blue,Medium,137 mm,Lenskart Blu,LB E13738,1500,non_power_reading,33254,4.45,133,https://www.lenskart.com/lenskart-blu-lb-e13738-c3-eyeglasses.html
209225,Tortoise,Narrow,131 mm,Vincent Chase,VC E11801,1700,eyeframe,4235,0.0,0,https://www.lenskart.com/vincent-chase-vc-e-11801-c14-eyeglasses.html
212875,Black,Medium,136 mm,Vincent Chase,VC E16459,1700,eyeframe,2911,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16459-c1-eyeglasses.html
215926,Navy,Narrow,134 mm,Lenskart Hustlr,LA E15417-N,1700,eyeframe,3071,0.0,0,https://www.lenskart.com/lenskart-la-e15417-n-c28-eyeglasses.html
201536,Blue Transparent,Medium,134 mm,Lenskart Air,LA E11481,1700,eyeframe,7204,4.55,77,https://www.lenskart.com/lenskart-air-la-e11481-c6-eyeglasses.html
215325,Black,Wide,139 mm,Vincent Chase,VC E16612,1700,eyeframe,2261,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16612-c2-eyeglasses.html
216453,Pink,Medium,136 mm,Vincent Chase,VC E16788,1700,eyeframe,925,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16786-c1-eyeglasses.html
209501,Transparent,8-12 yrs,126 mm,Hooper,HP E10031L,1000,eyeframe,5602,5.0,2,https://www.lenskart.com/hooper-hp-e10031l-c10-eyeglasses.html
211450,Grey,Medium,136 mm,Lenskart Air,LA E16169,1700,eyeframe,3403,0.0,0,https://www.lenskart.com/lenskart-air-la-e16169-c3-eyeglasses.html
215319,Blue,Narrow,130 mm,Vincent Chase,VC E16609,1700,eyeframe,2300,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16609-c2-eyeglasses.html
201324,Green,Narrow,131 mm,Lenskart Air,LA E12059,1700,eyeframe,8083,4.45,26,https://www.lenskart.com/lenskart-air-la-e12059-c3-eyeglasses.html
209588,Gunmetal,Narrow,135 mm,Vincent Chase Polarized,VC S13137,2000,sunglasses,3638,0.0,0,https://www.lenskart.com/vincent-chase-vc-s13137-c24-sunglasses.html
210505,Green,Narrow,133 mm,Vincent Chase,VC E13451,1700,eyeframe,1684,0.0,0,https://www.lenskart.com/vincent-chase-vc-e13451-ccc6-eyeglasses.html
206961,Gold,Extra Wide,150 mm,Vincent Chase Polarized,VC S15449,2000,sunglasses,8072,5.0,2,https://www.lenskart.com/vincent-chase-vc-s15449-c1-sunglasses.html
215967,Blue,Wide,143 mm,Vincent Chase Polarized,VC S16748,2000,sunglasses,1698,5.0,1,https://www.lenskart.com/vincent-chase-vc-s16748-c3-sunglasses.html
211426,Grey,Wide,139 mm,Lenskart Air,LA E16161,1700,eyeframe,2957,0.0,0,https://www.lenskart.com/lenskart-air-la-e16161-c3-eyeglasses.html
204141,Dark Night,Extra Narrow,125 mm,Lenskart Hustlr,HP E15011,1700,eyeframe,14005,4.65,13,https://www.lenskart.com/lenskart-hustlr-hp-e15011l-c1-eyeglasses.html
143007,Red,Narrow,130 mm,Vincent Chase,VC E13396,1700,eyeframe,16806,4.45,70,https://www.lenskart.com/vincent-chase-vc-e13396-c2-eyeglasses.html
211922,Brown,Narrow,133 mm,Vincent Chase,VC E16234,1700,eyeframe,3053,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16234-c1-eyeglasses.html
215326,Blue,Wide,139 mm,Vincent Chase,VC E16612,1700,eyeframe,2270,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16612-c3-eyeglasses.html
211612,Black,Wide,140 mm,Lenskart Air,LA E16209,3000,eyeframe,2214,0.0,0,https://www.lenskart.com/lenskart-air-la-e16209-c2-eyeglasses.html
146458,Black,Wide,140 mm,Lenskart Blu,LB E13737,1500,non_power_reading,51773,4.45,123,https://www.lenskart.com/lenskart-blu-lb-e13737-c1-eyeglasses.html
150875,Black,Wide,140 mm,John Jacobs,JJ E14415,3500,eyeframe,27136,4.6,11,https://www.lenskart.com/john-jacobs-jj-e14415-c2-eyeglasses.html
147948,Gunmetal,Extra Narrow,129 mm,Vincent Chase,VC E10425-XS,1700,eyeframe,20707,4.6,21,https://www.lenskart.com/vincent-chase-vc-e10425-s-c2-half-rim-rectangle-eyeglasses.html
209772,Grey,Wide,139 mm,Lenskart Air,LA E15850,3000,eyeframe,5055,0.0,0,https://www.lenskart.com/lenskart-air-la-e15850-c3-eyeglasses.html
209299,Gunmetal,Extra Wide,146 mm,Vincent Chase Polarized,VC S15752,2000,sunglasses,5317,5.0,1,https://www.lenskart.com/vincent-chase-vc-s15752-c2-sunglasses.html
204831,Black,Wide,142 mm,Vincent Chase Polarized,VC S11167,1500,sunglasses,27726,4.7,98,https://www.lenskart.com/vincent-chase-vc-s11167-l2-sunglasses.html
216400,Purple,Narrow,132 mm,Vincent Chase,VC E16789,1700,eyeframe,988,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16789-c2-eyeglasses.html
136188,Transparent,Medium,134 mm,John Jacobs,JJ E11515,3500,eyeframe,22121,4.6,207,https://www.lenskart.com/john-jacobs-jj-e11515-c6-eyeglasses.html
150590,Black,Wide,138 mm,Lenskart Air,LA E14365,1700,eyeframe,11852,4.7,19,https://www.lenskart.com/lenskart-air-la-e14365-c1-eyeglasses.html
206972,Amber,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,non_power_reading,38014,4.65,37,https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c18-eyeglasses.html
136757,Black,Medium,136 mm,Vincent Chase,VC E12864,1700,eyeframe,29161,4.6,316,https://www.lenskart.com/vincent-chase-vc-e12864-c1-eyeglasses.html
150869,Black,Wide,139 mm,John Jacobs,JJ E14413,3500,eyeframe,8516,4.25,4,https://www.lenskart.com/john-jacobs-jj-e14413-c2-eyeglasses.html
147939,Black,Wide,141 mm,Vincent Chase,VC E12395-XL,1700,eyeframe,23914,4.7,31,https://www.lenskart.com/vincent-chase-vc-e12395-xl-c1-full-rim-rectangle-eyeglasses.html
209590,Gunmetal,Narrow,131 mm,Vincent Chase Polarized,VC S14084,2000,sunglasses,3677,0.0,0,https://www.lenskart.com/vincent-chase-vc-s14084-c8-sunglasses.html
112985,,,,Alcon Freshlook,Alcon Freshlook Gray Powered Bi-Weekly,699,contact_lens,73953,4.25,93,https://www.lenskart.com/freshlook-colorblends-gray-color-lenses-2-lens-per-box-alcon.html
215977,Grey,Medium,137 mm,Vincent Chase Polarized,VC S16752,2000,sunglasses,1401,5.0,1,https://www.lenskart.com/vincent-chase-vc-s16752-c3-sunglasses.html
206125,Black Green,Wide,138 mm,Lenskart Air,LA E15318,3000,eyeframe,12574,4.9,13,https://www.lenskart.com/lenskart-air-la-e15318-c2-eyeglasses.html
206743,Gold Black,Wide,142 mm,Vincent Chase,VC S15397,2000,sunglasses,4804,5.0,1,https://www.lenskart.com/vincent-chase-vc-s15397-c3-sunglasses.html
211195,Tortoise,Extra Wide,142 mm,John Jacobs,JJ E16117,3500,eyeframe,3850,0.0,0,https://www.lenskart.com/john-jacobs-jj-e16117-c2-eyeglasses.html
147922,Gold,Medium,137 mm,John Jacobs,JJ S13146,3500,sunglasses,12128,4.5,19,https://www.lenskart.com/john-jacobs-jj-s13146-c5-sunglasses.html
